Gene1,Gene2
BRD4,S100A10
BRD4,S100A2
BRD4,S100A3
BRD4,S100A6
BRD4,SAYSD1
BRD4,SDC1
BRD4,SDC4
BRD4,SDK2
BRD4,SEC61G
BRD4,SEMA4C
BRD4,SERF1A
BRD4,SERTAD1
BRD4,SERTAD3
BRD4,SF3B4
BRD4,SF3B5
BRD4,SHF
BRD4,SIGMAR1
BRD4,SIRT3
BRD4,SKIDA1
BRD4,SLC1A5
BRD4,SLC25A5-AS1
BRD4,SLC25A6
BRD4,SLC40A1
BRD4,SLC45A4
BRD4,SLC7A11
BRD4,SLC7A5
BRD4,SLIT3
BRD4,SNORD3D
BRD4,SNORD60
BRD4,SPATA41
BRD4,SPON2
BRD4,SPRY2
BRD4,SPSB2
BRD4,SRI
BRD4,SRSF2
BRD4,ST3GAL1
BRD4,STAU2-AS1
BRD4,STC2
BRD4,STK25
BRD4,STRA6
BRD4,SYBU
BRD4,SYVN1
BRD4,TAC4
BRD4,TAF10
BRD4,TAF6
BRD4,TBRG4
BRD4,TERC
BRD4,THBD
BRD4,TIMM13
BRD4,TINF2
BRD4,TLE3
BRD4,TM4SF1
