Gene1,Gene2
JUND,GCLC
MEF2B,BCL6
MYBL2,MYBL2
MYBL2,NCL
MYC,ATF3
MYC,HDAC2
MYC,PRODH
MYC,ST3GAL1
NR3C1,ELK1
NR3C1,ETS1
NUPR1,EP300
NUPR1,TP53
RARB,THBD
RELA,CASP9
RELA,CCK
RELA,COL1A1
RELA,COL7A1
RELA,CTSB
E2F1,RELA
RELA,E2F1
RELA,EPAS1
RELA,FLT4
RELA,GCLC
RELA,GSK3A
RELA,JUNB
RELA,LIPE
RELA,NCOR2
RELA,PCYT2
RELA,PDK4
RELA,PLIN1
RELA,PTGES
RELA,PTHLH
RELA,SDC1
RELA,TAP1
RELA,TFF1
RELA,THBD
RELA,TNFSF10
RELA,TRIM21
REST,VGF
RFX5,HDAC2
RFX5,HLA-DMA
RFX5,HLA-DOB
RUNX3,CLDN7
RUNX3,CLEC4G
RUNX3,ICAM3
RUNX3,WNT4
SIN3A,E2F1
SMAD3,COL7A1
SMAD3,ZFP36
SP1,ADH6
SP1,DHCR24
SP1,KRT19
SP1,PDE6A
SP1,POLD2
SP1,RECQL4
SP1,SLC7A5
SP1,TFPI2
SP1,TNNI3
SP1,YY1
SPDEF,AGR2
AR,SREBF1
SREBF1,AR
TP53,FOXM1
FOXM1,TP53
TP53,SMAD3
TP53,TP53I3
USF1,CTSD
USF1,FOXA2
USF1,RELA
USF2,CTSD
USF2,HIF1A
USF2,SLC19A1
WT1,JUNB
YY1,EPAS1
YY1,HDAC2
YY1,HIF1A
YY1,IRF7
YY1,PDIA6
ZNF202,POMGNT1
CREB1,ANGPTL2
CREB1,GABARAP
CREB1,IRF7
CREB1,ZFP36
CREB1,RARB
SREBF2,FASN
SREBF2,G6PD
SREBF2,PCYT2
SREBF1,SREBF2
SREBF2,SREBF1
SREBF2,SREBF2
SREBF1,DHCR7
SREBF1,G6PD
SREBF1,HMGCS1
SREBF1,PCYT2
SREBF1,SV2A
HIF1A,BHLHE40
RELA,AKR1B1
SP1,ALDH3A1
SP1,CLU
SP1,FOXA1
SP1,GNRH1
TP53,PEG3
PEG3,TP53
TP53,SERTAD1
MYC,BRD2
MYC,C1QBP
MYC,CCT3
MYC,DNAJB1
MYC,EEF2
MYC,HAS2
MYC,HNRNPH1
MYC,LDHB
MYC,PEX19
MYC,SRSF2
GABPA,ACHE
SMAD3,COL1A1
SMAD3,COL5A2
SMAD3,GCLC
SMAD3,HEY1
GATA4,F10
GATA4,GNRH1
GATA4,MAFK
JUN,TFPI2
JUN,CLU
YY1,HMGCS1
YY1,LAMA1
YY1,MYH4
YY1,RGS16
E2F1,JUN
E2F1,MAP1LC3B
ETS1,KRT8
E2F2,E2F1
AR,DDT
AR,FASN
AR,PYCR1
AR,SREBF2
GATA2,MAFK
ATF3,GCLC
HOXA5,HOXA5
HIF1A,NKX3-1
NKX3-1,CLU
TAF1,TP53
APBB1,CLU
HEY2,HEY1
MED1,CRABP2
MED1,RARB
FOXA2,KCNJ11
EP300,RARB
FOXF2,SFTPB
MEF2B,JUN
TRIM21,JUN
BRD4,HNRNPH1
BRD4,MLF2
BRD4,STC2
EZH2,PARP12
EZH2,SOX17
GATA3,AURKAIP1
MED1,STC2
NCOR2,UGT2B17
SRSF2,AURKB
SRSF2,COL1A1
SRSF2,HNRNPH1
SRSF2,HNRNPL
SRSF2,SRSF2
HIF1A,KDM5A
HIF1A,KDM1A
MYC,ITGA7
MYC,IMPDH1
TP53,SCO2
NR3C1,KLF9
NR3C1,CEBPB
CEBPB,NR3C1
RUNX3,CHUK
NFE2L2,G6PD
NDN,MYC
TCF12,NOTCH3
TP63,PLEC
DOT1L,MCL1
EPAS1,KDM5A
EPAS1,KDM1A
ESRRA,RNF208
JUN,IL13
ETS1,IL13
JUNB,IL13
CTCF,IL13
IRF7,TNFSF10
EZH2,IL13
BCL6,CXCL11
TP63,TNFSF10
NR3C1,IL13
FOSL2,TGFB3
GATA2,IL13
AR,CLU
AR,PSMC3IP
AR,YY1
YY1,AR
AR,EZR
ARID1A,AR
ARNT,ALDH3A1
ARNT,ALOX12
ATF3,EPAS1
ATF3,IL13
BHLHE40,COL10A1
CEBPB,RELA
CREB1,OPALIN
CREB1,CTSB
CREB1,G6PD
CREB1,SDC4
